let,linija,letalo,karta
GG989,IIIC,872,0.311
EG989,GIGI,838,0.403
GG779,GFII,766,0.519
GG999,IIGI,235,0.326
II789,IGIH,475,0.986
IF999,IGGI,728,0.123
II769,GFGI,749,0.833
IE998,IIII,103,0.556
GG966,IGII,194,0.687
HI946,IGFI,17,0.245
EH998,GGIG,282,0.018
II999,AIIC,203,0.807
II899,GGHH,751,0.488
II799,IIIG,616,0.971
GG998,IFII,626,0.321
IH857,IIGF,359,0.474
HI799,IIIH,312,0.633
IH489,IIFI,432,0.057
II887,IIIG,149,0.5
II899,IHII,65,0.8
GG589,FFIH,445,0.307
CH578,GGGI,97,0.437
IF899,IGHF,219,0.213
II978,GIFG,612,0.609
II956,GIIG,735,0.861
II988,BGIH,923,0.571
GI978,IGHG,285,0.236
IH979,IFIG,513,0.482
GI999,GIII,739,0.821
II439,IEII,124,0.516
GG999,IGHI,966,0.608
II979,IGIG,68,0.197
GH999,IIII,261,0.297
II597,GGII,182,0.289
GI988,GEIG,153,0.138
IH875,GIGI,20,0.453
GG779,IGIH,209,0.181
II989,IGII,785,0.918
II997,GFGH,397,0.671
BI866,GGGH,120,0.328
IF685,IHIG,987,0.135
II959,IAIG,742,0.69
II997,IIII,342,0.576
GI899,EIFI,631,0.109
GG999,IFIG,378,0.934
GH899,IGGG,116,0.576
II779,GFII,181,0.867
ED999,GIGI,776,0.683
GI999,IIGI,204,0.692
FI989,GGII,738,0.88
IG888,IGII,317,0.506
HG788,FHEI,427,0.027
HG989,GGCI,113,0.346
II389,IGHH,435,0.426
GH999,FIII,249,0.816
GG838,IIIH,209,0.029
GI969,GIII,490,0.438
IF997,IGGF,83,0.343
GI769,IHGG,495,0.956
FI999,GIIG,827,0.198
GH897,IGIG,385,0.026
II894,GFGD,193,0.954
FI679,IHIG,12,0.583
HI699,GIII,618,0.103
FI589,IHFG,336,0.183
GI998,GGIH,468,0.171
II785,IIIH,385,0.512
GI699,GIIG,951,0.18
HH966,IGGI,92,0.857
IG726,GIGG,299,0.986
GH897,EIII,627,0.585
IH799,IIHE,89,0.363
GI994,IHII,880,0.742
HI287,HIGG,536,0.638
II799,HIIH,703,0.534
EI889,EHIG,349,0.621
GI859,IHIG,861,0.789
HI977,IIFI,567,0.489
IG979,HIII,557,0.985
CI978,IIHG,981,0.227
II899,IIGE,38,0.884
FI998,GIED,387,0.946
HI789,GHHI,702,0.3
IF978,HIGI,994,0.973
HI789,IIHI,430,0.401
II789,HIHH,445,0.444
HG898,GGID,911,0.074
II888,AIGG,949,0.483
GI399,IIGI,280,0.58
II999,IGIH,682,0.702
FF898,IIIG,414,0.444
HI998,IIII,61,0.433
GF888,GIGH,571,0.593
