let,karta
FI999,0.701
EI797,0.133
IE979,0.132
GI689,0.007
IG899,0.801
HI999,0.289
GG869,0.8
GI899,0.851
IH299,0.493
IG997,0.384
IG787,0.99
IG999,0.026
II889,0.154
II688,0.885
II888,0.735
II179,0.821
IH999,0.844
FI898,0.275
CH899,0.953
HI889,0.69
IC979,0.34
GI958,0.041
GH989,0.73
FI897,0.444
IE998,0.801
EI998,0.621
II698,0.136
FG969,0.718
IF989,0.353
II889,0.276
IF994,0.544
FI987,0.386
GI999,0.326
EG988,0.354
IH899,0.969
FI896,0.308
HF999,0.008
FI999,0.79
GI989,0.917
HI975,0.552
IH899,0.822
II799,0.461
II998,0.628
IF977,0.897
GE999,0.76
IG999,0.357
IH798,0.121
II999,0.463
II997,0.825
IH889,0.337
EI899,0.818
HI898,0.988
II858,0.254
IG589,0.124
FI599,0.26
HI979,0.127
GG895,0.038
GI899,0.394
IG678,0.248
GI976,0.426
II874,0.406
GG988,0.755
IF698,0.947
IG989,0.6
IF997,0.403
FI999,0.305
HI658,0.579
IH774,0.702
GI997,0.499
IG999,0.873
FH897,0.396
GE999,0.69
GH899,0.273
II989,0.183
DI286,0.85
HI999,0.21
HI799,0.355
HG999,0.962
II899,0.528
IF698,0.734
FI988,0.253
II958,0.206
IG898,0.759
GI899,0.322
II869,0.025
GH966,0.728
GI979,0.23
HI959,0.928
IG897,0.959
IG999,0.085
GI979,0.59
DF899,0.264
HG889,0.372
II758,0.852
II987,0.054
IG998,0.808
IH989,0.799
IH997,0.033
HI999,0.448
II969,0.652
IH557,0.337
HI899,0.141
IH977,0.887
GG989,0.809
FC989,0.387
II799,0.474
IH987,0.437
II999,0.444
IH999,0.776
II998,0.498
IF899,0.512
IH997,0.512
IG847,0.48
IF489,0.182
II985,0.944
II897,0.029
IG897,0.535
HG948,0.624
GF899,0.453
GI978,0.196
FI858,0.972
II975,0.131
GI979,0.575
GI669,0.477
HI976,0.617
FF689,0.738
GI986,0.208
IG977,0.852
GI695,0.471
GG678,0.51
HI999,0.86
GH879,0.12
FG747,0.513
HG297,0.118
II998,0.748
II999,0.532
II899,0.755
IG999,0.939
IG888,0.24
IG978,0.504
II987,0.469
II949,0.789
IG889,0.89
IH998,0.411
IH889,0.52
GH776,0.301
GE989,0.498
GG989,0.608
GI789,0.87
II878,0.087
HI998,0.863
GI989,0.082
EI988,0.774
II899,0.842
IE898,0.454
EG988,0.357
EG979,0.428
IG999,0.153
GI989,0.044
IH599,0.313
IF988,0.555
HI599,0.863
GI799,0.75
IG857,0.897
EH999,0.946
II798,0.839
IE799,0.559
GI998,0.336
HG848,0.072
II799,0.985
FI689,0.333
DI999,0.164
IH989,0.321
II889,0.371
IG899,0.362
FH999,0.265
GI996,0.88
GI624,0.923
IG796,0.313
GG419,0.505
IG889,0.898
II887,0.621
II999,0.35
GG799,0.758
HI799,0.528
IG999,0.378
IG894,0.892
II889,0.849
IG998,0.42
IG999,0.721
EH797,0.47
GG997,0.166
GG996,0.885
CI999,0.828
HI777,0.126
II997,0.4
IF989,0.821
GI999,0.55
GI998,0.221
IF878,0.488
FI888,0.568
II999,0.245
IH998,0.662
IH773,0.568
GG958,0.468
IF999,0.945
IG979,0.735
GH989,0.103
GI979,0.197
GE899,0.949
GG889,0.466
IG399,0.168
IG979,0.807
GG899,0.824
GH887,0.461
GI799,0.558
II998,0.99
IH587,0.291
GI998,0.731
IG797,0.416
II999,0.982
AG988,0.745
GI897,0.811
IG797,0.688
GG999,0.105
GI698,0.004
II898,0.747
EI978,0.699
GI899,0.667
IF996,0.351
IG999,0.994
II779,0.813
EI599,0.317
IG998,0.016
GI988,0.376
IH896,0.233
GF799,0.009
FI589,0.867
FH977,0.848
GF789,0.149
II876,0.391
IG394,0.001
HH787,0.005
HI869,0.975
II998,0.246
II999,0.647
II997,0.262
II998,0.207
GG879,0.324
BI986,0.732
IG799,0.847
ID898,0.229
AI989,0.111
IG977,0.458
II929,0.99
GB986,0.807
II798,0.493
FI886,0.821
HI928,0.448
GI968,0.871
II797,0.734
GI899,0.921
GI897,0.338
IF596,0.391
GF999,0.41
IG893,0.935
IG998,0.365
HI999,0.997
II659,0.892
IG999,0.273
GH998,0.349
IG399,0.969
GH898,0.044
HH869,0.963
HI977,0.691
FI988,0.128
GG887,0.935
GI999,0.117
II999,0.091
IG889,0.731
GG899,0.204
IG987,0.264
EG877,0.05
II685,0.454
GI688,0.969
IG789,0.033
FH988,0.633
GI995,0.002
II981,0.771
II979,0.986
HG989,0.971
IH988,0.575
II979,0.946
GG496,0.454
II978,0.21
II898,0.717
IF999,0.857
