koda_letalisce,ime
GKA,Goroka Airport
MAG,Madang Airport
HGU,Mount Hagen Kagamuga Airport
LAE,Nadzab Airport
POM,Port Moresby Jacksons International Airport
WWK,Wewak International Airport
UAK,Narsarsuaq Airport
GOH,Godthaab / Nuuk Airport
SFJ,Kangerlussuaq Airport
THU,Thule Air Base
AEY,Akureyri Airport
EGS,Egilsstaðir Airport
HFN,Hornafjörður Airport
HZK,Húsavík Airport
IFJ,Ísafjörður Airport
KEF,Keflavik International Airport
PFJ,Patreksfjörður Airport
RKV,Reykjavik Airport
SIJ,Siglufjörður Airport
VEY,Vestmannaeyjar Airport
YAM,Sault Ste Marie Airport
YAY,St. Anthony Airport
YAZ,Tofino / Long Beach Airport
YBB,Kugaaruk Airport
YBC,Baie Comeau Airport
YBG,CFB Bagotville
YBK,Baker Lake Airport
YBL,Campbell River Airport
YBR,Brandon Municipal Airport
YCB,Cambridge Bay Airport
YCD,Nanaimo Airport
YCG,Castlegar/West Kootenay Regional Airport
YCH,Miramichi Airport
YCL,Charlo Airport
YCO,Kugluktuk Airport
YCT,Coronation Airport
YCW,Chilliwack Airport
YCY,Clyde River Airport
YZS,Coral Harbour Airport
YDA,Dawson City Airport
YDB,Burwash Airport
YDF,Deer Lake Airport
YDL,Dease Lake Airport
YDN,Dauphin Barker Airport
YDQ,Dawson Creek Airport
YEG,Edmonton International Airport
YEK,Arviat Airport
YEN,Estevan Airport
YET,Edson Airport
YEU,Eureka Airport
YEV,Inuvik Mike Zubko Airport
YFB,Iqaluit Airport
YFC,Fredericton Airport
YFE,Forestville Airport
YFO,Flin Flon Airport
YFR,Fort Resolution Airport
YFS,Fort Simpson Airport
YGK,Kingston Norman Rogers Airport
YGL,La Grande Rivière Airport
YGP,Gaspé (Michel-Pouliot) Airport
YGQ,Geraldton Greenstone Regional Airport
YGR,Îles-de-la-Madeleine Airport
YHB,Hudson Bay Airport
YHD,Dryden Regional Airport
YHI,Ulukhaktok Holman Airport
YHK,Gjoa Haven Airport
YHM,John C. Munro Hamilton International Airport
YHU,Montréal / Saint-Hubert Airport
YHY,Hay River / Merlyn Carter Airport
YHZ,Halifax / Stanfield International Airport
YIB,Atikokan Municipal Airport
YIO,Pond Inlet Airport
YJN,St Jean Airport
YJT,Stephenville Airport
YKA,Kamloops Airport
YKF,Waterloo Airport
YKL,Schefferville Airport
YKY,Kindersley Airport
YKZ,Buttonville Municipal Airport
YLD,Chapleau Airport
YLJ,Meadow Lake Airport
YLL,Lloydminster Airport
YLT,Alert Airport
YLW,Kelowna International Airport
YMA,Mayo Airport
YMJ,Moose Jaw Air Vice Marshal C. M. McEwen Airport
YMM,Fort McMurray Airport
YMO,Moosonee Airport
YMW,Maniwaki Airport
YMX,Montreal International (Mirabel) Airport
YNA,Natashquan Airport
YND,Ottawa / Gatineau Airport
YNM,Matagami Airport
YOC,Old Crow Airport
YOD,CFB Cold Lake
YOJ,High Level Airport
YOW,Ottawa Macdonald-Cartier International Airport
YPA,Prince Albert Glass Field
YPE,Peace River Airport
YPG,Southport Airport
YPL,Pickle Lake Airport
YPN,Port Menier Airport
YPQ,Peterborough Airport
YPR,Prince Rupert Airport
YPY,Fort Chipewyan Airport
YQA,Muskoka Airport
YQB,Quebec Jean Lesage International Airport
YQF,Red Deer Regional Airport
YQG,Windsor Airport
YQH,Watson Lake Airport
YQK,Kenora Airport
YQL,Lethbridge County Airport
YQM,Greater Moncton International Airport
YQQ,Comox Airport
YQR,Regina International Airport
YQT,Thunder Bay Airport
YQU,Grande Prairie Airport
YQV,Yorkton Municipal Airport
YQW,North Battleford Airport
YQX,Gander International Airport
YQY,Sydney / J.A. Douglas McCurdy Airport
YQZ,Quesnel Airport
YRB,Resolute Bay Airport
YRI,Rivière-du-Loup Airport
YRJ,Roberval Airport
YRM,Rocky Mountain House Airport
YRT,Rankin Inlet Airport
YSB,Sudbury Airport
YSC,Sherbrooke Airport
YSJ,Saint John Airport
YSM,Fort Smith Airport
YSR,Nanisivik Airport
YSU,Summerside Airport
YSY,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport
YTE,Cape Dorset Airport
YTH,Thompson Airport
YTR,CFB Trenton
YTS,Timmins/Victor M. Power
YTZ,Billy Bishop Toronto City Centre Airport
YUB,Tuktoyaktuk Airport
YUL,Montreal / Pierre Elliott Trudeau International Airport
YUT,Repulse Bay Airport
YUX,Hall Beach Airport
YUY,Rouyn Noranda Airport
YVC,La Ronge Airport
YVG,Vermilion Airport
YVM,Qikiqtarjuaq Airport
YVO,Val-d'Or Airport
YVP,Kuujjuaq Airport
YVQ,Norman Wells Airport
YVR,Vancouver International Airport
YVT,Buffalo Narrows Airport
YVV,Wiarton Airport
YWA,Petawawa Airport
YWG,Winnipeg / James Armstrong Richardson International Airport
YWK,Wabush Airport
YWL,Williams Lake Airport
YWY,Wrigley Airport
YXC,Cranbrook/Canadian Rockies International Airport
YXD,Edmonton City Centre (Blatchford Field) Airport
YXE,Saskatoon John G. Diefenbaker International Airport
YXH,Medicine Hat Airport
YXJ,Fort St John Airport
YXL,Sioux Lookout Airport
YXP,Pangnirtung Airport
YXR,Earlton (Timiskaming Regional) Airport
YXS,Prince George Airport
YXT,Northwest Regional Airport Terrace-Kitimat
YXU,London Airport
YXX,Abbotsford Airport
YXY,Whitehorse / Erik Nielsen International Airport
YYB,North Bay Jack Garland Airport
YYC,Calgary International Airport
YYD,Smithers Airport
YYE,Fort Nelson Airport
YYF,Penticton Airport
YYG,Charlottetown Airport
YYH,Taloyoak Airport
YYJ,Victoria International Airport
YYL,Lynn Lake Airport
YYN,Swift Current Airport
YYQ,Churchill Airport
YYR,Goose Bay Airport
YYT,St. John's International Airport
YYU,Kapuskasing Airport
YYW,Armstrong Airport
YYY,Mont Joli Airport
YYZ,Lester B. Pearson International Airport
YZD,Downsview Airport
YZE,Gore Bay Manitoulin Airport
YZF,Yellowknife Airport
YZH,Slave Lake Airport
YZP,Sandspit Airport
YZR,Chris Hadfield Airport
YZT,Port Hardy Airport
YZU,Whitecourt Airport
YZV,Sept-Îles Airport
YZW,Teslin Airport
YZX,CFB Greenwood
ZFA,Faro Airport
ZFM,Fort Mcpherson Airport
QLD,Blida Airport
BUJ,Bou Saada Airport
BJA,Soummam Airport
ALG,Houari Boumediene Airport
DJG,Djanet Inedbirene Airport
VVZ,Illizi Takhamalt Airport
TMR,Aguenar – Hadj Bey Akhamok Airport
GJL,Jijel Ferhat Abbas Airport
MZW,Mecheria Airport
AAE,Rabah Bitat Airport
CZL,Mohamed Boudiaf International Airport
TEE,Cheikh Larbi Tébessi Airport
HRM,Hassi R'Mel Airport
TID,Bou Chekif Airport
TIN,Tindouf Airport
CFK,Ech Cheliff Airport
TAF,Tafaraoui Airport
TLM,Zenata – Messali El Hadj Airport
ORN,Es Senia Airport
BFW,Sidi Bel Abbes Airport
MUW,Ghriss Airport
AZR,Touat Cheikh Sidi Mohamed Belkebir Airport
BSK,Biskra Airport
ELG,El Golea Airport
GHA,Noumérat - Moufdi Zakaria Airport
HME,Oued Irara Airport
INZ,In Salah Airport
TGR,Touggourt Sidi Madhi Airport
LOO,Laghouat Airport
TMX,Timimoun Airport
OGX,Ain el Beida Airport
IAM,In Aménas Airport
COO,Cadjehoun Airport
OUA,Ouagadougou Airport
BOY,Bobo Dioulasso Airport
ACC,Kotoka International Airport
TML,Tamale Airport
NYI,Sunyani Airport
TKD,Takoradi Airport
ABJ,Port Bouet Airport
